Name,Dist,e_Dist,Per,Mode,ra,dec
X_____Sgr,350,13,7.0130211,F,266.89013,-27.8308
J175258-2736.1,1309,32,4.8224613,F,268.24225,-27.60013
V773__Sgr,1480,38,5.7483564,F,268.57341,-26.75828
AP____Sgr,809,22,5.0580832,F,273.26041,-23.11728
V1954_Sgr,2347,58,6.1791567,F,273.85946,-20.6295
J180946.70-182238.2,1863,46,7.2896902,F,272.44458,-18.37728
WZ____Sgr,1783,78,21.8532997,F,274.24883,-19.07584
Y_____Sgr,524,21,5.773383,F,275.34579,-18.86
AY____Sgr,1718,54,6.5696422,F,275.82978,-18.57475
U_____Sgr,653,33,6.745226,F,277.9722,-19.12508
BB____Sgr,807,28,6.6360805,F,282.74945,-20.29522
XX____Sgr,1362,58,6.4243335,F,276.18541,-16.79717
CR____Ser,1584,51,5.301366,F,272.50887,-13.54597
J182714-1507.1,2242,105,5.5458094,F,276.80604,-15.11797
YZ____Sgr,1238,43,9.5537875,F,282.36913,-16.72303
X_____Sct,1683,40,4.1980485,F,277.83229,-13.10817
V412__Ser,1617,47,5.1217827,F,273.56594,-9.33906
Y_____Oph,632,23,17.1294208,F,268.16124,-6.14358
V458__Sct,1607,52,4.8418382,F,275.61279,-10.12478
V367__Sct,1900,46,6.2931858,F,278.39683,-10.42725
Y_____Sct,1690,56,10.3414413,F,279.51379,-8.36895
SS____Sct,1015,27,3.6713516,F,280.93129,-7.73111
EW____Sct,479,23,5.8229228,F,279.46295,-6.7968
CK____Sct,2110,56,7.4161139,F,280.25274,-6.09722
CM____Sct,2276,52,3.9170249,F,280.61175,-5.34083
TY____Sct,2334,64,11.0540745,F,280.533,-4.2935
RU____Sct,1969,81,19.7042782,F,280.48491,-4.11066
V496__Aql,1002,35,6.8070785,F,287.08654,-7.43775
BX____Sct,2047,79,6.4110044,F,282.5385,-4.36811
V1162_Aql,1222,38,5.3757961,F,298.08745,-11.36686
V493__Aql,2208,64,2.9877424,F,284.35112,-0.73022
V912__Aql,1285,35,4.4004867,F,282.06791,0.8177
V336__Aql,2043,64,7.3041815,F,285.3322,0.14703
BQ____Ser,1040,36,4.2710037,F,279.06641,4.39825
SZ____Aql,1790,76,17.1413213,F,286.16425,1.30617
TT____Aql,1051,44,13.7547268,F,287.05729,1.29867
FN____Aql,1419,44,9.4815651,F,288.19712,3.55741
V1344_Aql,882,30,7.4767255,F,287.99654,4.35486
V600__Aql,1761,52,7.2388599,F,290.25979,8.51633
FM____Aql,929,24,6.1142663,F,287.31662,10.55247
V1803_Aql,1478,40,8.6279483,F,290.029,12.79527
FF____Aql,403,14,4.470916,F,284.56145,17.36091
V367__Sge,1458,38,4.842732,F,289.97145,17.24047
NSV24859,1572,76,5.4019,F,295.87246,23.17794
BR____Vul,2065,50,5.1969917,F,296.64662,22.88978
HO____Vul,2136,72,5.6309204,F,299.72295,24.39506
X_____Vul,1054,33,6.3196496,F,299.3692,26.55648
GH____Cyg,2233,49,7.8163294,F,299.795,29.45075
MW____Cyg,1502,44,5.9545636,F,303.09513,32.87161
CD____Cyg,2529,106,17.0785209,F,301.11067,34.11228
T_____Vul,578,18,4.4355444,F,312.86767,28.2505
V495__Cyg,1729,36,6.7168861,F,303.99304,35.01473
V383__Cyg,1642,50,4.6125304,F,307.24233,34.13511
V402__Cyg,2092,44,4.3647334,F,302.28233,37.15198
X_____Cyg,991,48,16.3512537,F,310.85079,35.58781
V1154_Cyg,2045,69,4.9254526,F,297.06445,43.12695
V438__Cyg,1818,64,11.2099429,F,304.72628,40.0645
V396__Cyg,1834,47,33.2547081,F,304.05287,42.10875
VX____Cyg,2799,91,20.1343606,F,314.33679,40.1775
VY____Cyg,1968,57,7.8575841,F,316.06933,39.97225
J311.5581+43.2128,2127,70,5.9679345,F,311.5581,43.21286
V1662_Cyg,2950,106,8.7238149,F,312.75344,43.13988
TX____Cyg,1113,39,14.7071368,F,315.02658,42.59756
SZ____Cyg,2286,85,15.1176653,F,308.2262,46.60128
BZ____Cyg,1911,54,10.141932,F,311.49916,45.30697
V514__Cyg,1814,43,5.0988163,F,311.55229,45.47859
V386__Cyg,1049,38,5.2575934,F,318.66849,41.71636
V520__Cyg,2222,47,4.0491705,F,313.7397,47.53381
V1543_Cyg,2277,56,2.0303144,F,315.06595,48.44945
V2201_Cyg,2009,47,2.4183067,F,316.07011,49.7444
V459__Cyg,2418,55,7.2514018,F,317.72658,49.14206
VZ____Cyg,1813,54,4.8647985,F,327.92266,43.13403
V2340_Cyg,3100,114,7.9662733,F,322.1872,48.97823
BG____Lac,1733,49,5.3315485,F,330.10479,43.44536
V538__Cyg,2435,78,6.1183466,F,324.3672,51.76247
J323.3006+52.8836,3077,68,5.3908696,F,323.30064,52.88367
J215613.64+525909.7,4171,119,4.2369197,F,329.05686,52.98601
Y_____Lac,2127,70,4.3233568,F,332.26208,51.04587
del___Cep,266,12,5.3662532,F,337.29279,58.41519
RR____Lac,1959,55,6.4152023,F,340.36054,56.43278
Z_____Lac,1885,70,10.8856559,F,340.2173,56.82947
V_____Lac,1722,50,4.9825772,F,342.15834,56.32155
V901__Cep,2817,55,8.9755101,F,340.04326,60.5638
CR____Cep,1339,27,6.2328499,F,341.6032,59.4422
V529__Cep,3707,126,5.8690526,F,343.69724,57.79069
V911__Cep,2721,52,4.2783954,F,342.09617,60.40472
V342__Cas,3597,117,3.9196343,F,345.33801,57.86702
SW____Cas,2005,62,5.4407811,F,346.79201,58.55419
CH____Cas,2843,66,15.0922893,F,350.61851,62.75716
V846__Cas,3990,129,3.8712267,F,353.33468,61.11911
DW____Cas,2451,92,4.9975112,F,354.70166,59.39183
V1020_Cas,3133,76,4.7428475,F,353.16242,63.0692
RS____Cas,1420,37,6.2957128,F,354.31691,62.429
V997__Cas,3773,124,7.6774648,F,356.18153,61.28278
RY____Cas,2549,101,12.1410189,F,358.02932,58.74172
CD____Cas,2365,60,7.8013197,F,356.26096,63.00386
CF____Cas,3021,101,4.8750393,F,359.57492,61.22106
DD____Cas,3068,72,9.8129918,F,359.39568,62.71825
FM____Cas,1921,55,5.8088478,F,3.61767,56.25294
SY____Cas,2129,79,4.07133,F,3.79088,58.42428
BF____Cas,3934,142,3.6302462,F,3.51354,60.98628
TU____Cas,887,30,2.1394136,F,6.58105,51.28037
V825__Cas,4167,140,3.7340527,F,6.32571,60.76478
AS____Cas,2912,63,3.0245807,F,6.40721,64.22989
DL____Cas,1718,52,8.0003072,F,7.49413,60.21197
XY____Cas,2067,63,4.5017086,F,12.47191,60.12739
BP____Cas,2345,67,6.2721399,F,18.7546,65.59939
OZ____Cas,1912,64,5.0791375,F,18.58138,62.04403
AW____Cas,2818,88,4.2782594,F,19.00501,61.6207
V1013_Cas,3562,120,3.7555413,F,20.42653,61.76873
AY____Cas,2532,78,2.8715563,F,24.74996,64.98928
VX____Per,2419,71,10.8792785,F,31.95201,58.44353
GM____Cas,2346,49,7.4677769,F,36.73625,60.57144
SZ____Cas,2279,63,13.6405457,F,36.80738,59.46061
VY____Per,2066,65,5.5319054,F,36.89762,58.91722
V440__Per,761,26,7.57,F,35.96559,55.36486
UY____Per,2332,71,5.3651845,F,38.63037,58.83169
DF____Cas,2619,59,3.8324243,F,41.18046,61.46473
OX____Cam,1561,51,5.0655012,F,57.10705,59.44227
J053.5926+54.6072,3009,94,3.569043,F,53.5927,54.60724
MM____Per,3054,82,4.1183838,F,56.34729,48.08347
CK____Cam,641,21,3.2948214,F,76.63188,55.35353
AS____Per,1442,51,4.9719057,F,64.94524,48.95327
BK____Aur,2498,75,8.002431,F,77.66763,49.6876
SY____Aur,2524,76,10.14465,F,78.16345,42.83177
RX____Aur,1585,51,11.6257968,F,75.34662,39.96039
AW____Per,815,28,6.4634539,F,71.94295,36.7228
Y_____Aur,1951,64,3.8595469,F,82.1635,42.43774
ST____Tau,1063,37,4.034304,F,86.26317,13.57635
W_____Gem,986,54,7.9128942,F,98.73938,15.33048
CS____Mon,3926,91,6.7319962,F,98.04558,6.65305
BE____Mon,1981,60,2.7055496,F,100.02325,7.60583
CV____Mon,1729,39,5.3786737,F,99.27017,3.06395
BV____Mon,2826,85,3.0139684,F,104.21288,4.51619
V376__Mon,2781,90,1.6519572,F,102.20013,-3.60467
AA____Mon,4100,114,3.9381476,F,104.34904,-3.84334
RY____CMa,1259,40,4.6783901,F,109.15684,-11.48731
